Star,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Brown dwarf
54 Piscium,Pisces,00h 39m 22s,+21° 15′ 02″,5.88,36.1,"K0V+T7.5",B
81 Cancri,Cancer,9 h 12 m 14.69s,14°  59 ′  39.6″,6.77,66,L8,CD
AB Pictoris,Pictor,06h  19s,−58° 03′ 15″,9.16,66.6,K2V,b
CD−33°7795,Hydra,11h 31m 55s,–34° 36′ 17″,11.37,163.08,"M1",b
CT Chamaeleontis,Chamaeleon,11h 04m 09s,–76° 27′ 19″,12.36,538,"K7",b
Eta Coronae Borealis,Corona Borealis,15h 23m 22.6s,30° 14′ 56″,5.02,58.3,"L8",C
G 196-3,Ursa Major,10h 04m 22s,+50° 23′ 23″,11.77,50.2,"M2.5",b
GD 165,Boötes,14h 24m 39.144s,9° 17′ 13.98″,14.6,103,"D4A+L4",B
Gliese 570,Libra,14h 57m 28s,−21° 24′ 56″,5.64,19.0,K4V+,D
GU Piscium,Pisces,01h 12m 35.04s,+17° 03′ 55.7″,13.1,155.3,"M3V",b
HD 89744,Ursa Major,10h 22m 10.56s,+41° 13′ 46.31″,5.74,126.2,"F7IV",B
HD 100546,Musca,11h 33m 25s,–70° 11′ 41″,6.70,337.25,"B9Vne",b
HN Pegasi,Pegasus,21h 44m 28.46s,+14° 46′ 7.8″,-,58.3,"T2.5",B
LHS 4040,Sculptor,23 h 54 m 9.28s,－33°  16 ′  26.6″,20.7,-,M8.5V,C
UScoCTIO 108,Scorpius,16h 05m 54s,–18° 18′ 43″,-,473,"M7",b
WD 0137-349,Sculptor,01h 39m 43s,−34° 42′ 39″,15.33,330,"DA",B
HD 41004 B,Pictor,05h 59m 50s,–48° 14′ 23″,12.33,139,"M2",b
HD 149382,Ophiuchus,16h 34m 23s,−04° 00′ 52″,8.95,241,"B5VI",b
COROT-15,Monoceros,06h 28m 27.81s,+6° 11′ 10.5″,22,-,"F7V",b
Xi Ursae Majoris B,Ursa Major,11h 18m 12s,+31° 32′ 15″,4.73,25.11,"F8.5V",b
Upsilon Andromedae,Andromeda,01h 36m 48s,+41° 24′ 20″,4.63,43.9,"F8V",Samh
Gliese 758,Lyra,19h 23m 34s,+33° 13′ 19″,6.36,51.9,"G8V",B
HD 112758,Virgo,12h 59m 03s,–09° 50′ 03″,7.56,53.81,"K0V",b
BD−04°782,Eridanus,04h 15m 10s,–04° 25′ 06″,9.39,66.6,"K5V",b
