V mag.,Proper Name,Bayer designation,Distance,Spectral class,Mass,Radius,Luminosity
−26.74,Sun,,0.000015813,G2,1,1,1
−1.46,Sirius,α CMa,8.6,A1,2.1,1.71,25.4
−0.74,Canopus,α Car,310,A9,15,71,13500
−0.27,Alpha Centauri,,4.4,G2,1.1,1.2,2
−0.05,Arcturus,α Boo,37,K2,1.1,26,170
0.03,Vega,α Lyr,25,A0,2.2,2.7,50
0.08,Capella,α Aur,43,G8,2.6,12,150
0.13,Rigel,β Ori,860,B8,23,78.9,120000
0.34,Procyon,α CMi,11.4,F5,1.5,1.9,7.7
0.45,Betelgeuse,α Ori,1,M2,20,950,60000
0.46,Achernar,α Eri,144,B3,6.7,9.3,3000
0.61,Hadar,,390,B1,10.5,8.6,42000
0.76,Altair,α Aql,17,A7,1.8,1.8,10.5
0.76,Acrux,,320,B0.5,18,8.9,25000
0.86,Aldebaran,α Tau,65,K5,1.5,44,520
0.96,Antares,α Sco,600,M1.5,12,680,75000
0.97,Spica,α Vir,260,B1,11.43,7.47,20512
1.14,Pollux,β Gem,34,K0,1.9,8.8,43
1.16,Fomalhaut,α PsA,25,A3,1.9,1.8,16.6
1.25,Deneb,α Cyg,2600,A2,19,203,200000
1.25,Mimosa,β Crucis,350,B0.5,16,8.4,34000
1.39,Regulus,α Leo,77,B7,3.8,3.1,290
1.50,Adhara,,430,B2,12.5,14,39000
1.62,Shaula,,700,B2,14.5,8.8,36000
1.62,Castor,α Gem,52,A1,2.8,2.4,30
1.64,Gacrux,,88,M3.5,1.5,84,820
1.64,Bellatrix,,240,B2,8.6,5.8,9200
1.65,Elnath,,130,B7,5.0,4.2,700
1.69,Miaplacidus,,110,A1,3.5,6.8,290
1.69,Alnilam,ε Ori,2000,B0,32,42,380000
1.72,Gamma Velorum,,1100,WC8,9.0,6,170000
1.74,Alnair,,101,B7,4.0,3.4,260
1.77,Alioth,,81,A1,2.9,4.2,110
1.77,Alnitak,ζ Ori,1050,O9.7,33,20,120000
1.79,Dubhe,,120,G9,4.25,30,300
1.80,Mirfak,,590,F5,8.5,68,5000
1.82,Wezen,,1600,F8,17,200,82000
1.84,Sargas,,270,F0,5.7,26,1800
1.85,Kaus Australis,,140,B9.5,3.5,6.8,360
1.86,Avior,,630,K3,9.0,130,60000
1.86,Alkaid,,104,B3,6.1,3.4,1350
1.90,Menkalinan,,81,A1,2.39,2.77,50
1.91,Atria,,390,K2,7,92,5500
1.92,Alhena,,109,A1.5,2.8,3.3,120
1.94,Peacock,,180,B3,5.9,4.8,2200
1.96,,,80,A1,2.4,2.9,90
1.98,Mirzam,,500,B1,13.5,10,27000
1.98,Polaris,α UMi,430,F8,5.4,39,2500
2.00,Alphard,α Hya,180,K3,3.0,50,780
2.23,Mintaka,δ Ori,1200,O9.5,24,16.5,190000
2.42,Scheat,,196,M2.5,2.1,95,1500
2.98,Almaaz,,653,F0,15,140,43000
3.35,Rasalgethi,,360,M5,2.8,280,8300
3.50,Tau Ceti,τ Cet,11.9,G8,0.783,0.893,0.52
3.56,Delta Pavonis,δ Pav,19.92,G8,0.991,1.22,1.22
3.74,Ran,ε Eri,10.48,K2,0.82,0.74,0.34
3.83,V382 Carinae,Car,8900,G2,20,485,212000
4,Eta Carinae,η Car,7500,O,100,60–881,5000000
4.07,Delta Cephei,δ Cep,887,F5,4.5,44.5,2000
4.08,Mu Cephei,μ Cep,6000,M2,19.2,972,135000
4.09,Titawin,υ And,44.25,F8,1.27,1.48,3.57
4.1,Rho Cassiopeiae,ρ Cas,8154,G2,22,636-981,347000 - 530000
4.82,P Cygni,P Cyg,5545,B1,30,76,610000
4.86,La Superba,CVn,1000,C5,,129 - 342,2472 - 5800
4.91,VV Cephei,Cep,4900,M2,18.2,516 - 1050,200000
5.20,61 Cygni,Cyg,11.41,K5,0.7,0.665,0.153
5.4,R Doradus,Dor,178,M8,0.7 - 1.0,298,4350
5.47,Polaris Australis,Oct,281,F0,1.59,3.74,38
5.71,R Coronae Borealis,Bor,4566,G0,0.85,85,10000
5.88,54 Piscium,Psc,36.1,K0,0.76,0.94,0.52
6.57,Mira,,300,M7,1.2,370,9000
6.65,RW Cephei,Cep,14000,K2,13.9,1158,417000
6.67,Lacaille 8760,Mic,12.87,M0,0.6,0.51,0.072
6.75,V838 Monocerotis,Mon,19896,M6,?,380 - 750,15000
7.25,HD 140283,Lib,190,F?,?,1.4,3.83
7.4,II Pegasi,Peg,130,K2,0.8,3.4,1.06
8.05,VY Canis Majoris,CMa,3900,M5,17,1420,178000 - 270000
8.3,Pistol Star,Sgr,25000,B3,100,320,1700000
8.6,S Doradus,Dor,169000,B8,24,380,910000
8.9,UY Scuti,Sct,5100,M4,7–10,755,86300 - 87100
9.5,Barnard's Star,Oph,5.98,M4,0.14,0.20,0.0035
10.7,Luhman 16,Vel,6.52,L7,0.04,?,?
11.13,Proxima Centauri,Cen,4.25,M6,0.12,0.15,0.0017
11.71,KIC 8462852,Cyg,1470,F3,1.43,1.58,4.68
12.23,R136a1,Dor,163000,WN5,290,32,8710000
12.78,Melnick 42,Dor,163000,O2,189,21.1,3600000
14.10,WR 102,Sag,18134,WO2,19,0.39,282000
14.38,VFTS 352,Dor,164000,O5,57.48,14.47,330000
14.68,YBP 1194,Cnc,2772,G5,1.01,0.99,0.98
14.71,Gliese 1214,Oph,47.5,M4.5,0.16,0.21,0.0033
16.6,NML Cygni,Cyg,5251,M6,50,1640 - 2770,229000
17.30,VB 10,Aql,18.72,M8,0.075,0.10,0.0004
18.46,WOH G64,Dor,163000,M5,<20,1540 - 1730,340-589000
18.80,TRAPPIST-1,Aqr,39.6,M8,0.089,0.12,0.0005
21.05,2MASS J0523-1403,Lep,40.3,L2.5,0.07,0.086,0.00013
25,WISE 0855−0714,Hya,7.27,Y2,0.003,?,?
28.4,Icarus,Leo,14400000000,B?,33,?,850000
