V mag.,Proper Name,Bayer designation,Distance,Spectral class,Mass,Radius,Luminosity,g
−26.74,Sun,nan,1.5813e-05,G2,1,1,1,68.64704207856735 m/s^2
−1.46,Sirius,α CMa,8.6,A1,2.1,1.71,25.4,49.30022515132569 m/s^2
−0.74,Canopus,α Car,310.0,A9,15,71,13500,0.2042661438560822 m/s^2
−0.27,Alpha Centauri,nan,4.4,G2,1.1,1.2,2,52.438712698905626 m/s^2
−0.05,Arcturus,α Boo,37.0,K2,1.1,26,170,0.11170376669589366 m/s^2
0.03,Vega,α Lyr,25.0,A0,2.2,2.7,50,20.716528473641723 m/s^2
0.08,Capella,α Aur,43.0,G8,2.6,12,150,1.239460481974133 m/s^2
0.13,Rigel,β Ori,860.0,B8,23,78.9,120000,0.2536271013840576 m/s^2
0.34,Procyon,α CMi,11.4,F5,1.5,1.9,7.7,28.52370169469558 m/s^2
0.45,Betelgeuse,α Ori,1.0,M2,20,950,60000,0.0015212640903837643 m/s^2
0.46,Achernar,α Eri,144.0,B3,6.7,9.3,3000,5.317784506028456 m/s^2
0.61,Hadar,nan,390.0,B1,10.5,8.6,42000,9.74572663365275 m/s^2
0.76,Altair,α Aql,17.0,A7,1.8,1.8,10.5,38.13724559920409 m/s^2
0.76,Acrux,nan,320.0,B0.5,18,8.9,25000,15.599630822045354 m/s^2
0.86,Aldebaran,α Tau,65.0,K5,1.5,44,520,0.05318727433773297 m/s^2
0.96,Antares,α Sco,600.0,M1.5,12,680,75000,0.0017814976317967308 m/s^2
0.97,Spica,α Vir,260.0,B1,11.43,7.47,20512,14.061344726662561 m/s^2
1.14,Pollux,β Gem,34.0,K0,1.9,8.8,43,1.6842636873615437 m/s^2
1.16,Fomalhaut,α PsA,25.0,A3,1.9,1.8,16.6,40.25598146582654 m/s^2
1.25,Deneb,α Cyg,2600.0,A2,19,203,200000,0.0316507025041321 m/s^2
1.25,Mimosa,β Crucis,350.0,B0.5,16,8.4,34000,15.566222693552689 m/s^2
1.39,Regulus,α Leo,77.0,B7,3.8,3.1,290,27.144511956145262 m/s^2
1.50,Adhara,nan,430.0,B2,12.5,14,39000,4.378000132561693 m/s^2
1.62,Shaula,nan,700.0,B2,14.5,8.8,36000,12.853591298285465 m/s^2
1.62,Castor,α Gem,52.0,A1,2.8,2.4,30,33.37008989930358 m/s^2
1.64,Gacrux,nan,88.0,M3.5,1.5,84,820,0.014593333775205646 m/s^2
1.64,Bellatrix,nan,240.0,B2,8.6,5.8,9200,17.549481625317455 m/s^2
1.65,Elnath,nan,130.0,B7,5.0,4.2,700,19.45777836694086 m/s^2
1.69,Miaplacidus,nan,110.0,A1,3.5,6.8,290,5.196034759407131 m/s^2
1.69,Alnilam,ε Ori,2000.0,B0,32,42,380000,1.2452978154842151 m/s^2
1.72,Gamma Velorum,nan,1100.0,WC8,9.0,6,170000,17.16176051964184 m/s^2
1.74,Alnair,nan,101.0,B7,4.0,3.4,260,23.753301757289744 m/s^2
1.77,Alioth,nan,81.0,A1,2.9,4.2,110,11.2855114528257 m/s^2
1.77,Alnitak,ζ Ori,1050.0,O9.7,33,20,120000,5.663380971481807 m/s^2
1.79,Dubhe,nan,120.0,G9,4.25,30,300,0.3241665875932348 m/s^2
1.80,Mirfak,nan,590.0,F5,8.5,68,5000,0.12618941558560176 m/s^2
1.82,Wezen,nan,1600.0,F8,17,200,82000,0.02917499288339113 m/s^2
1.84,Sargas,nan,270.0,F0,5.7,26,1800,0.5788286092423579 m/s^2
1.85,Kaus Australis,nan,140.0,B9.5,3.5,6.8,360,5.196034759407131 m/s^2
1.86,Avior,nan,630.0,K3,9.0,130,60000,0.03655759637320155 m/s^2
1.86,Alkaid,nan,104.0,B3,6.1,3.4,1350,36.223785179866866 m/s^2
1.90,Menkalinan,nan,81.0,A1,2.39,2.77,50,21.382584233832844 m/s^2
1.91,Atria,nan,390.0,K2,7,92,5500,0.056773309847586426 m/s^2
